SUNo|GUNo|DenRatio|NLC|Slope|CL|A2
SU2914|GU2915|0.11|5.00|2.00|5.00|880.20
SU2915|GU2916|0.10|9.00|1.00|9.00|990.30
SU2919|GU2920|0.24|11.00|8.00|11.00|410.69
SU2920|GU2921|0.20|1.00|25.00|1.00|434.71
SU2921|GU2922|0.16|3.00|30.00|3.00|529.85
SU2922|GU2923|0.23|2.00|25.00|2.00|378.85
SU2924|GU2925|0.14|1.00|6.00|1.00|705.35
SU2925|GU2926|0.25|2.00|0.00|2.00|389.63
SU2937|GU2940|0.12|1.00|0.00|1.00|778.38
SU2944|GU2947|0.08|9.00|1.00|7.00|1545.27
SU2945|GU2948|0.08|2.00|0.00|2.00|1241.40
SU2962|GU9999|0.05|5.00|0.00|5.00|1801.08
SU2964|GU0001|0.14|2.00|3.00|2.00|668.70
SU3006|GU3004|0.04|1.00|3.00|1.00|2069.86
SU3008|GU3048|0.14|1.00|5.00|1.00|684.61
SU3016|GU3056|0.06|1.00|2.00|1.00|1653.08
SU3018|GU3058|0.07|2.00|4.00|2.00|1291.28
SU3019|GU3059|0.06|1.00|5.00|1.00|1481.69
SU3023|GU3009|0.09|1.00|4.50|1.00|1086.35
SU3026|GU3012|0.06|7.00|12.50|7.00|1591.05
SU3027|GU3013|0.34|8.00|11.50|5.00|448.24
SU3028|GU3013|0.09|3.00|11.50|3.00|1039.52
SU3032|GU3061|0.10|2.00|5.00|2.00|939.08
SU3033|GU3040|0.15|3.00|0.50|2.00|963.95
SU3034|GU3016|0.11|3.00|2.00|3.00|876.48
SU3035|GU3016|0.03|1.00|2.00|1.00|2689.25
SU3036|GU3016|0.07|3.00|2.00|3.00|1413.80
SU3037|GU3016|0.07|6.00|2.00|6.00|1303.22
SU3038|GU3017|0.07|1.00|1.00|1.00|1312.45
SU3039|GU3017|0.05|2.00|1.00|2.00|1692.40
SU3044|GU3041|0.07|1.00|2.00|1.00|1301.86
SU3045|GU3041|0.05|4.00|2.00|4.00|1821.57
SU3046|GU3018|0.04|1.00|1.00|1.00|2399.01
SU3047|GU3023|0.03|3.00|6.00|3.00|2666.97
SU3048|GU3023|0.05|3.00|6.00|2.00|2806.83
SU3051|GU3025|0.03|1.00|8.50|1.00|2662.07
SU3053|GU3026|0.05|1.00|2.00|1.00|1849.93
SU3054|GU3027|0.05|1.00|4.50|1.00|1947.14
SU3055|GU3028|0.04|1.00|3.00|1.00|2309.68
SU3056|GU3029|0.05|3.00|4.50|3.00|1853.61
SU3057|GU3029|0.09|1.00|4.50|1.00|1072.63
SU3058|GU3029|0.13|4.00|4.50|4.00|763.21
SU3059|GU3035|0.02|4.00|12.00|4.00|4381.60
SU3060|GU3036|0.02|3.00|14.00|3.00|3735.76
SU3061|GU3036|0.03|1.00|14.00|1.00|2811.87
SU3062|GU3042|0.04|1.00|8.00|1.00|2417.11
SU3063|GU3043|0.03|1.00|2.00|1.00|2795.05
SU3064|GU3043|0.03|1.00|2.00|1.00|2846.64
SU3067|GU3045|0.06|1.00|1.00|1.00|1459.60
SU3070|GU3019|0.09|1.00|0.50|1.00|1017.66
SU3073|GU3020|0.15|2.00|0.50|2.00|646.60
SU3074|GU3020|0.11|4.00|0.50|4.00|849.78
SU3079|GU3022|0.06|1.00|0.50|1.00|1657.71
SU3081|GU3030|0.09|1.00|2.00|1.00|1086.17
SU3083|GU3031|0.06|1.00|0.50|1.00|1648.35
SU3087|GU3034|0.14|1.00|4.50|1.00|692.70
SU3097|GU3065|0.08|2.00|3.00|2.00|1236.80
SU3100|GU3065|0.19|1.00|3.00|1.00|517.92
