ISZ|SIANo|SUNo|SumOfNoPiece|Tile
Karkotis|TS11|SU2964|13.00|Tile
Karkotis|TS11|SU2965|1.00|Tile
Mandres||SU3008|1.00|Tile
Mandres|TS07|SU3013|1.00|Tile
Mandres||SU3024|1.00|Tile
Mandres||SU3026|1.00|Tile
Koutraphas||SU3037|1.00|Tile
Koutraphas||SU3070|1.00|Tile
Koutraphas||SU3073|1.00|Tile
Koutraphas||SU3075|2.00|Tile
Extensive||SU3095|3.00|Tile
Extensive||SU3098|2.00|Tile
