ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
Mandres||SU3018|14.00|HIS
Mandres||SU3018|9.00|HR
Mandres||SU3018|1.00|LH
Mandres||SU3018|3.00|LHER
Mandres||SU3018|5.00|MM
Mandres||SU3018|1.00|OTTMODI
Mandres||SU3018|8.00|PeB
Mandres||SU3018|1.00|ROM
Mandres||SU3018|2.00|UN
Mandres||SU3019|3.00|BA
Mandres||SU3019|8.00|HA
Mandres||SU3019|6.00|HIS
Mandres||SU3019|4.00|MM
Mandres||SU3019|1.00|OTTMODI
Mandres||SU3019|2.00|ROM
Mandres||SU3019|1.00|UN
Mandres||SU3020|3.00|HA
Mandres||SU3020|1.00|MOD
Mandres||SU3020|4.00|PeB
Mandres||SU3020|8.00|PoBAR
Mandres||SU3021|1.00|BA
Mandres||SU3021|6.00|GAC
Mandres||SU3021|16.00|HA
Mandres||SU3021|12.00|HIS
Mandres||SU3021|8.00|MM
Mandres||SU3021|1.00|PeB
Mandres|TS07|SU3023|1.00|HA
Mandres|TS07|SU3023|1.00|HIS
Mandres|TS07|SU3023|1.00|MOD
Mandres||SU3024|7.00|HA
Mandres||SU3024|13.00|HIS
Mandres||SU3024|1.00|MEDUIII
Mandres||SU3024|2.00|MEDVOTT
Mandres||SU3024|7.00|MM
Mandres||SU3024|1.00|MOD
Mandres||SU3024|1.00|OTTMODI
Mandres||SU3025|4.00|HA
Mandres||SU3025|1.00|HR
Mandres||SU3025|1.00|LR
Mandres||SU3025|1.00|MM
Mandres||SU3026|2.00|HA
Mandres||SU3026|1.00|HIS
Mandres||SU3026|1.00|ROM
Mandres||SU3027|1.00|HA
Mandres||SU3027|1.00|HIS
