ISZ|SIANo|SUNo|SumOfNoPieces|TypeChip|Type
Karkotis||SU1326|2.00|Dho|Dho
Koutraphas|TS21|SU1328|2.00|Chu|NotDho
Koutraphas|TS21|SU1328|1.00|Dho|Dho
Koutraphas|TS21|SU1328|1.00|Spl|NotDho
Koutraphas|TS21|SU1329|1.00|Abr|NotDho
Koutraphas|TS21|SU1330|1.00|Dho|Dho
Koutraphas|TS21|SU1330|1.00|Frg|NotDho
Koutraphas|TS21|SU1330|4.00|Gen|NotDho
Koutraphas|TS21|SU1330|1.00|URt|NotDho
Koutraphas|TS21|SU1344|1.00|Dir|NotDho
Koutraphas|TS21|SU1345|1.00|Tes|NotDho
Koutraphas|TS21|SU1351|1.00||NotDho
Koutraphas|TS21|SU1352|1.00|Cha|NotDho
Koutraphas|TS21|SU1352|1.00|Sin|NotDho
Mandres||SU1372|1.00|Abr|NotDho
Mandres||SU1374|1.00|F-3|NotDho
Mandres|TS07|SU1379|1.00|Cha|NotDho
Mandres|TS07|SU1380|1.00|BlFr|NotDho
Mandres|TS07|SU1380|1.00|Chu|NotDho
Mandres|TS07|SU1380|1.00|Gen|NotDho
Mandres|TS07|SU1381|1.00||NotDho
Mandres|TS07|SU1381|1.00|Amp|NotDho
Mandres|TS07|SU1381|1.00|BlFr|NotDho
Mandres|TS07|SU1381|1.00|Dho|Dho
Mandres|TS07|SU1381|1.00|F-2|NotDho
Mandres|TS07|SU1381|1.00|Gen|NotDho
Mandres|TS07|SU1381|1.00|Ham|NotDho
Mandres|TS07|SU1381|1.00|Sin|NotDho
Mandres|TS07|SU1382|1.00|Chu|NotDho
Mandres|TS07|SU1382|2.00|F-3|NotDho
Mandres|TS07|SU1383|1.00|BlFr|NotDho
Mandres|TS07|SU1383|1.00|Ch-3|NotDho
Mandres|TS07|SU1383|1.00|Spl|NotDho
Mandres|TS07|SU1384|1.00|Dho|Dho
Karkotis|TS11|SU1602|4.00||NotDho
Karkotis|TS11|SU1602|1.00|F-2|NotDho
Karkotis|TS11|SU1602|1.00|Gen|NotDho
Karkotis|TS11|SU1604|1.00|Gen|NotDho
Karkotis|TS11|SU1604|1.00|Tes|NotDho
Karkotis|TS11|SU1605|2.00||NotDho
Karkotis|TS11|SU1605|1.00|Abr|NotDho
Karkotis|TS11|SU1605|5.00|Chu|NotDho
Karkotis|TS11|SU1605|1.00|F-3|NotDho
Karkotis|TS11|SU1605|1.00|Gen|NotDho
Xyliatos||SU1607|2.00|F-2|NotDho
Xyliatos||SU1610|1.00|F-2|NotDho
Xyliatos||SU1611|4.00||NotDho
Xyliatos||SU1612|1.00|Chu|NotDho
Xyliatos||SU1612|1.00|Frg|NotDho
Xyliatos||SU1613|2.00||NotDho
Xyliatos|TS02|SU1620|2.00||NotDho
Xyliatos|TS02|SU1621|2.00||NotDho
Xyliatos|TS02|SU1622|2.00||NotDho
Xyliatos|TS02|SU1623|2.00||NotDho
Xyliatos|TS02|SU1623|1.00|Dho|Dho
Xyliatos|TS02|SU1624|1.00|BOB|NotDho
Xyliatos|TS02|SU1624|1.00|Sid|NotDho
Xyliatos|TS02|SU1625|1.00||NotDho
Xyliatos|TS02|SU1625|1.00|Gen|NotDho
Xyliatos|TS02|SU1626|1.00|Err|NotDho
Xyliatos|TS02|SU1627|1.00|Abr|NotDho
Xyliatos|TS02|SU1629|1.00|Amp|NotDho
Xyliatos|TS02|SU1629|1.00|BlFr|NotDho
Xyliatos|TS02|SU1630|3.00||NotDho
Xyliatos|TS02|SU1630|1.00|Gen|NotDho
Xyliatos|TS02|SU1631|1.00||NotDho
Xyliatos|TS02|SU1631|1.00|Dho|Dho
Xyliatos|TS02|SU1632|1.00||NotDho
Xyliatos|TS02|SU1632|1.00|Ch-2|NotDho
Xyliatos|TS02|SU1633|1.00||NotDho
Xyliatos|TS02|SU1634|1.00|BlFr|NotDho
Xyliatos|TS02|SU1638|1.00||NotDho
Xyliatos|TS02|SU1638|1.00|Ch-2|NotDho
Xyliatos|TS02|SU1638|1.00|Gen|NotDho
Xyliatos|TS02|SU1639|1.00|Chu|NotDho
Xyliatos|TS02|SU1639|1.00|Dho|Dho
Xyliatos|TS02|SU1639|1.00|Gen|NotDho
Xyliatos|TS02|SU1640|1.00||NotDho
Xyliatos|TS02|SU1640|1.00|Amp|NotDho
Xyliatos|TS02|SU1640|1.00|BlFr|NotDho
Xyliatos|TS02|SU1640|1.00|F-3|NotDho
Xyliatos|TS02|SU1640|1.00|Frg|NotDho
Xyliatos|TS02|SU1640|1.00|Gen|NotDho
Xyliatos|TS02|SU1642|1.00|Amp|NotDho
Xyliatos|TS02|SU1642|1.00|Chu|NotDho
Xyliatos|TS02|SU1644|1.00||NotDho
Xyliatos|TS02|SU1644|3.00|Chu|NotDho
Xyliatos|TS02|SU1647|1.00||NotDho
Xyliatos|TS02|SU1647|1.00|Gen|NotDho
Xyliatos|TS02|SU1648|1.00|BlFr|NotDho
Xyliatos|TS02|SU1648|1.00|Ch-3|NotDho
Xyliatos|TS02|SU1648|2.00|Chu|NotDho
Xyliatos|TS02|SU1648|1.00|Cres|NotDho
Xyliatos|TS02|SU1648|1.00|F-3|NotDho
Xyliatos|TS02|SU1648|1.00|Frg|NotDho
